Instance,clase,v,cplex1,ob1,ob21,gap1,cplex2,ob2,ob12,gap2,gap21,gap12,opt1,opt21,opt2,opt12
p2.3.h_c.txt,1,3,45,45,45,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.h_c.txt,1,3,45,45,45,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.h_c.txt,1,3,45,45,45,0.0,105.0,105.0,105.0,-0.0,0.0,-0.0,1,1,1,1
p2.3.i_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.i_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.i_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,0
p2.3.i_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.i_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,0
p2.3.i_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,1,1,0
p2.3.i_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.i_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.i_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.i_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.j_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,0
p2.3.j_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,1
p2.3.j_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,0
p2.3.j_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,0
p2.3.j_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,1
p2.3.j_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,0
p2.3.j_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,1
p2.3.j_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,1
p2.3.j_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,1
p2.3.j_c.txt,1,3,60,60,60,0.0,90.0,90.0,90.0,-0.0,0.0,-0.0,0,0,0,0
p2.3.k_c.txt,1,3,65,65,60,0.0,85.0,90.0,85.0,5.88,7.69,-0.0,0,0,0,0
p2.3.k_c.txt,1,3,65,65,60,0.0,85.0,90.0,85.0,5.88,7.69,-0.0,0,0,0,0
p2.3.k_c.txt,1,3,65,65,60,0.0,85.0,90.0,85.0,5.88,7.69,-0.0,1,0,0,1
p2.3.k_c.txt,1,3,65,65,65,0.0,85.0,85.0,85.0,-0.0,0.0,-0.0,0,0,0,0
p2.3.k_c.txt,1,3,65,65,65,0.0,85.0,85.0,85.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.k_c.txt,1,3,65,65,60,0.0,85.0,90.0,85.0,5.88,7.69,-0.0,0,0,0,0
p2.3.k_c.txt,1,3,65,65,65,0.0,85.0,85.0,85.0,-0.0,0.0,-0.0,1,0,0,1
p2.3.k_c.txt,1,3,65,65,60,0.0,85.0,90.0,85.0,5.88,7.69,-0.0,0,0,0,0
p2.3.k_c.txt,1,3,65,65,60,0.0,85.0,90.0,85.0,5.88,7.69,-0.0,1,0,0,1
p2.3.k_c.txt,1,3,65,65,65,0.0,85.0,85.0,85.0,-0.0,0.0,-0.0,0,0,0,0
p2.4.a_c.txt,1,4,0,0,0,0.0,112.5,112.5,112.5,-0.0,0.0,-0.0,0,0,0,0
p2.4.a_c.txt,1,4,0,0,0,0.0,112.5,112.5,112.5,-0.0,0.0,-0.0,0,0,0,0
p2.4.a_c.txt,1,4,0,0,0,0.0,112.5,112.5,112.5,-0.0,0.0,-0.0,0,0,0,0
p2.4.a_c.txt,1,4,0,0,0,0.0,112.5,112.5,112.5,-0.0,0.0,-0.0,0,0,0,0
p2.4.a_c.txt,1,4,0,0,0,0.0,112.5,112.5,112.5,-0.0,0.0,-0.0,0,0,0,0
